,오사카,이름,구글 맵 링크,대표메뉴,주소,특이사항
맛집,오사카,쿠시카츠 다루마,https://maps.app.goo.gl/JxrLBsueXNzq1ijt7,도톤보리 튀김세트,"1 Chome-5-24 Namba, Chuo Ward, Osaka, 542-0076, Japan",
맛집,오사카,시치후쿠진,https://maps.app.goo.gl/2jj7wgrs1cV48tWq6,쿠시카츠,"5 Chome-7-29 Tenjinbashi, Kita Ward, Osaka, 530-0041, Japan",
맛집,오사카,무기 토 토리,https://maps.app.goo.gl/kHH1w2H9mGb4vghD6,토리파이탄 라멘,"Japan, 〒542-0081 Osaka, Chuo Ward, Minamisenba, 3 Chome−1−16 日宝ラッキービル 1F",
맛집,오사카,오코노미야키 치구사,https://maps.app.goo.gl/XRD57GjzL9Kp6jV19,돼지고기 오코노미야키,"4 Chome-11-18 Tenjinbashi, Kita Ward, Osaka, 530-0041, Japan",
맛집,오사카,타코우메,https://maps.app.goo.gl/8sdxENQi6HB3VSWy7,오뎅,"1 Chome-1-8 Dotonbori, Chuo Ward, Osaka, 542-0071, Japan",
관광지,오사카,유니버설 스튜디오 재팬,https://maps.app.goo.gl/rKyZrJvHM7C1Ui2TA,,"2 Chome-1-33 Sakurajima, Konohana Ward, Osaka, 554-0031, Japan",
관광지,오사카,츠텐카쿠,https://maps.app.goo.gl/LXcbT7kL8fHSES969,,"1 Chome-18-6 Ebisuhigashi, Naniwa Ward, Osaka, 556-0002, Japan",
관광지,오사카,오사카 성,https://maps.app.goo.gl/VoR8wMThwSJojkk57,,"1-1 Osakajo, Chuo Ward, Osaka, 540-0002, Japan",
관광지,오사카,도톤보리 글리코 간판,https://maps.app.goo.gl/tTgNe8NRHbEwfSB57,,"1 Chome-10-3 Dotonbori, Chuo Ward, Osaka, 542-0071, Japan",
관광지,오사카,덴포잔 대관람차,https://maps.app.goo.gl/yGmhNg1Dn8bcPpSu6,,"1 Chome-1-10 Kaigandori, Minato Ward, Osaka, 552-0022, Japan",
기념품,오사카,리쿠로오지상 치즈케이크,https://maps.app.goo.gl/NPG8Qi9Qo398txcx7,,"3 Chome-2-28 Namba, Chuo Ward, Osaka, 542-0076, Japan",
기념품,오사카,미타라시 당고,,,,
맛집,도쿄,츠케멘 야스베에 아키하바라점,https://maps.app.goo.gl/VaZjcVayjTCJG9mm8,츠케멘,"일본 〒101-0021 Tokyo, Chiyoda City, Sotokanda, 1 Chome−15−１１ 秋葉原 西川ビル B1",
맛집,도쿄,규카츠 모토무라 아키하바라점,https://maps.app.goo.gl/PfoHQNDPxHrU3cT36,규카츠,"일본 〒101-0021 Tokyo, Chiyoda City, Sotokanda, 1 Chome−15−18 奥山ビル 地下1F",
맛집,도쿄,Harbs LUMINE Ikebukuro,https://maps.app.goo.gl/i9F1iMTfBwQidTRSA,밀 크레이프,"일본 〒171-0021 Tokyo, Toshima City, Nishiikebukuro, 1 Chome−11−1 1F",
맛집,도쿄,멘야 쇼오 본점,https://maps.app.goo.gl/GNX7oKhEJSkRtq9o7,시오 라멘,"7 Chome-22-34 Nishishinjuku, Shinjuku City, Tokyo 160-0023 일본",
맛집,도쿄,돈카츠 마이센 아오야마 본점,https://maps.app.goo.gl/1YcPrghFm6YiLC9Q8,흑돼지 돈카츠,"4 Chome-8-5 Jingumae, Shibuya, Tokyo 150-0001 일본",
관광지,도쿄,도쿄 도청사,https://maps.app.goo.gl/2T8bSni5FVc6SS5e8,,"2 Chome-8-1 Nishishinjuku, Shinjuku City, Tokyo 163-8001 일본",
관광지,도쿄,시부야 스크램블 스퀘어,https://maps.app.goo.gl/tD4BuKktMtsASUzp8,,"2 Chome-24-12 Shibuya, Tokyo 150-0002 일본",
관광지,도쿄,도쿄 타워,https://maps.app.goo.gl/yfUnYssZVQfKwwEY8,,"4 Chome-2-8 Shibakoen, Minato City, Tokyo 105-0011 일본",
관광지,도쿄,롯폰기 힐스,https://maps.app.goo.gl/LfvkXQsHkc7eu4Ps5,,"6 Chome-10-1 Roppongi, Minato City, Tokyo 106-6108 일본",
관광지,도쿄,도쿄 스카이트리,https://maps.app.goo.gl/SKCEacSzBvibnZkv7,,"1 Chome-1-2 Oshiage, Sumida City, Tokyo 131-0045 일본",
관광지,도쿄,시부야 스카이,https://maps.app.goo.gl/gbrcXgC4PWsJPUHW9,,"일본 〒150-6145 Tokyo, Shibuya, 2 Chome−24−12 14階・45階・46階・屋上",
기념품,도쿄,도쿄바나나,,,,
기념품,도쿄,로이스 초콜릿,,,,
맛집,다낭,Mi Quang 1A,https://maps.app.goo.gl/HGZwAnvYAxQYE8Mz7,누들 스페셜,"5 Hải Phòng, Thạch Thang, Hải Châu, Đà Nẵng 550000, Vietnam",
맛집,다낭,Bún chả cá 109,https://maps.app.goo.gl/m2KxAfDAhEnzN5he8,분짜까,"109 Nguyễn Chí Thanh, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",
맛집,다낭,Bánh Xèo Bà Dưỡng,https://maps.app.goo.gl/Se1BrHebBwZNAp8u6,반쎄오,"280/23 Hoàng Diệu, Bình Hiên, Hải Châu, Đà Nẵng 550000, Vietnam",
맛집,다낭,Nhà Bếp Xưa Restaurant,https://maps.app.goo.gl/pateqKPazyZBtfXY6,소고기 쌀국수,"64B Hà Bổng, Phước Mỹ, Sơn Trà, Đà Nẵng 550000, Vietnam",
맛집,다낭,Ăn Thôi Restaurant,https://maps.app.goo.gl/RaPmKcMAzDmb7LrB8,분짜 콤보,"114 Bạch Đằng, Hải Châu 1, Hải Châu, Đà Nẵng 550000, Vietnam",
관광지,다낭,미케 비치,https://maps.app.goo.gl/5BUCmvsZ8pqkuVpy9,,"Phước Mỹ, Sơn Trà, Da Nang 550000, Vietnam",
관광지,다낭,오행산,https://maps.app.goo.gl/R7fkyYsKqh2h4jdL8,,"81 Huyền Trân Công Chúa, Hoà Hải, Ngũ Hành Sơn, Đà Nẵng 550000, Vietnam",
