분류,이름,동의어,치환동의어,특이사항,카테고리
필수품,여권,패스포트,,,"여자혼자, 남자혼자, 비즈니스, 여름여행, 겨울여행, 봄가을여행"
필수품,유심,이심,,,"남자혼자, 여자혼자, 비즈니스, 여름여행, 겨울여행, 봄가을여행"
필수품,여행자 보험,,,,"여자혼자, 비즈니스"
필수품,신용카드,카드,,,비즈니스
필수품,체크카드,카드,트레블 월렛,,"남자혼자, 여자혼자, 여름여행, 겨울여행, 봄가을여행"
필수품,지갑,,,,"남자혼자, 여자혼자, 비즈니스"
필수품,도시락 와이파이,와이파이 도시락,,,
필수품,현지화폐,"돈, 지폐",,,"남자혼자, 여자혼자, 비즈니스, 여름여행, 겨울여행, 봄가을여행"
필수품,주요 서류,,,,"여자혼자, 비즈니스"
필수품,e-티켓(항공권),,,,"남자혼자, 여자혼자, 비즈니스, 여름여행, 봄가을여행, 겨울여행"
필수품,신분증,,,,"남자혼자, 여자혼자, 비즈니스, 여름여행, 겨울여행, 봄가을여행"
필수품,국제면허증,,,,비즈니스
필수품,국제학생증,,,,
필수품,예약한 곳 티켓,,,,
필수품,숙소바우처,,,,
필수품,동전지갑,,,,
필수품,작은 자물쇠,자물쇠,락,,여자혼자
필수품,여권사본,,,,비즈니스
전자기기,노트북,랩탑,,,비즈니스
전자기기,아이패드,태블릿,,,
전자기기,노트북 충전기,랩탑 충전기,,,비즈니스
전자기기,휴대폰 충전기,폰 충전기,,,"여자혼자, 남자혼자, 비즈니스"
전자기기,아이패드 충전기,태블릿 충전기,,,
전자기기,카메라 충전기,,,,
전자기기,휴대용 고데기,고데기,미니 고데기,,여자혼자
전자기기,보조배터리,파워뱅크,보배,,"남자혼자, 여자혼자, 비즈니스"
전자기기,휴대용 선풍기,선풍기,손풍기,,여름여행
전자기기,카메라,사진기,,,
전자기기,이어폰,무선 이어폰,에어팟,,"남자혼자, 여자혼자, 비즈니스, 여름여행, 겨울여행, 봄가을여행"
전자기기,멀티어댑터,어댑터,,,여자혼자
전자기기,헤어드라이기,드라이기,,,
전자기기,접이식 전자포트,전자포트,,,
전자기기,휴대폰,핸드폰,폰,,"남자혼자, 여자혼자, 비즈니스, 여름여행, 겨울여행, 봄가을여행"
의류,팬티,속옷,,,"남자혼자, 여자혼자, 비즈니스, 여름여행, 겨울여행, 봄가을여행"
의류,브라,"브래지어, 브라자",,,여자혼자
의류,잠옷,파자마,,,여자혼자
의류,양말,,,,"남자혼자, 여자혼자, 비즈니스"
의류,스타킹,,,,
의류,모자,볼캡,,,
의류,수영복,"비키니, 래쉬가드",,,여름여행
의류,패딩,,,,겨울여행
의류,코트,,,,겨울여행
의류,가방,"에코백, 메신저백",,,여자혼자
의류,선글라스,,,,"여름여행, 봄가을여행"
의류,신발,"슬리퍼, 운동화",,,
의류,담요,,,,겨울여행
의류,스카프,목도리,,,겨울여행
의류,우비,,,,여름여행
의류,수건,타월,,,
의류,긴팔,,,,"여자혼자, 봄가을여행, 겨울여행"
의류,긴바지,,,,"여자혼자, 봄가을여행, 겨울여행"
의류,반팔,티셔츠,,,여름여행
의류,장갑,,,,겨울여행
의류,바람막이,,,,봄가을여행
의류,반바지,,,,여름여행
의류,후드집업,후드티,,,"남자혼자, 여자혼자, 겨울여행, 봄가을여행"
의류,옷핀,,,,
의류,수면양말,양말,,,겨울여행
의료품,안약,인공눈물,,,
의료품,마스크,,,,
의료품,종합감기약,감기약,,,여자혼자
의료품,소화제,,,,여자혼자
의료품,진통제,,타이레놀,,
의료품,반창고,밴드,,,
의료품,연고,,후시딘,,
의료품,두통약/멀미약,,,,
의료품,영양제,,,,
위생용품,폼클렌징,"폼클랜징, 클랜징, 클렌징 폼",,,여자혼자
위생용품,클렌징 오일,,,,
위생용품,로션,,,,여자혼자
위생용품,면도기,,,,남자혼자
위생용품,세안밴드,머리띠,,,여자혼자
위생용품,칫솔,,,,"남자혼자, 여자혼자, 비즈니스, 여름여행, 겨울여행, 봄가을여행"
위생용품,수분크림,,,,겨울여행
위생용품,스킨,,,,여자혼자
위생용품,바세린,,,,
위생용품,가글,,가그린,,
위생용품,바디워시,,,,여자혼자
위생용품,샴푸,,,,여자혼자
위생용품,컨디셔너,,,,
위생용품,헤어팩,,,,
위생용품,마스크팩,팩,,,
위생용품,여성 위생용품,"생리대, 탐폰",,,여자혼자
위생용품,자외선 차단제,선크림,,,"여자혼자, 여름여행, 겨울여행, 봄가을여행"
위생용품,아이라이너,,아라,,
위생용품,아이브로우,,,,
위생용품,쉐딩,,,,
위생용품,하이라이터,,,,
위생용품,블러셔,,,,
위생용품,파운데이션,,,,
위생용품,비비크림,BB크림,,,
위생용품,브러쉬,,,,
위생용품,쿠션,,,,
위생용품,쉐도우,아이쉐도우,,,
위생용품,마스카라,,,,
위생용품,뷰러,,,,
위생용품,면봉,,,,
위생용품,립밤,,,,"여자혼자, 겨울여행"
위생용품,미스트,,,,
위생용품,빗,헤어빗,,,
기타,텀블러,물통,,,
기타,안경닦이,,,,
기타,안경집,,,,
기타,우산,,,,
기타,향수,퍼퓸,,,
기타,삼각대,셀카봉,,,
기타,볼펜,펜,,,
기타,휴대용 휴지,,,,
기타,물티슈,티슈,,,
기타,샤워기 필터,,,,
기타,안대,,,,
기타,귀마개,이어플러그,,,
기타,목베개,,,,
기타,라이터,라이타,,,
기타,손톱깎이,,,,
기타,벌레 퇴치제,,에프킬라,,여름여행
기타,핸드폰 목걸이케이스,,,,여자혼자
기타,"젓가락, 일회용 수저",,,,
기타,머리끈,고무줄,끈,,여자혼자
기타,책,도서,,,
기타,수첩,노트,,,
기타,호신용품,,,,여자혼자
