나라,항공사 명,항공사 링크(수화물 규정)
오사카,아시아나항공,https://flyasiana.com/C/KR/KO/contents/user-guide
,대한항공 (KAL),https://www.koreanair.com/contents/plan-your-travel/baggage
,에어부산,https://www.airbusan.com/content/common/service/baggage/
,에어서울,https://flyairseoul.com/CW/ko/destinations.do#
뉴욕,아시아나항공,https://flyasiana.com/C/KR/KO/contents/user-guide
,대한항공 (KAL),https://www.koreanair.com/contents/plan-your-travel/baggage
,에어프레미아,https://www.airpremia.com/sg/ko/support/baggage/free-baggage
,델타항공,https://www.delta.com/us/en/baggage/overview
다낭,아시아나항공,https://flyasiana.com/C/KR/KO/contents/user-guide
,대한항공 (KAL),https://www.koreanair.com/contents/plan-your-travel/baggage
,베트남항공,https://www.vietnamairlines.com/kr/ko/travel-information/baggage
,VietJet Air,https://www.vietjetair.com/ko/pages/%EC%88%98%ED%95%98%EB%AC%BC-%EA%B7%9C%EC%A0%95-1607068114735?keyword=&matchtype=&utm_source=google-vj-kr&utm_medium=cpc&utm_campaign=pmax_koreanmagpie2024_kw_dsa_0424intlflt_brand_name_korawo2024_cpc_ib&gad_source=1&gclid=CjwKCAiAp4O8BhAkEiwAqv2UqIqS0LpFkaEt3KIfdT2By7xE575m4EsZ-T42Jqr-r4-bRselPoLtSBoCt28QAvD_BwE
방콕,아시아나항공,https://flyasiana.com/C/KR/KO/contents/user-guide
,대한항공 (KAL),https://www.koreanair.com/contents/plan-your-travel/baggage
,Batik Air,https://www.malindoair.com/kr/ko/experiences/baggage2
,진에어,https://www.jinair.com/ready/carryBaggage
도쿄,아시아나항공,https://flyasiana.com/C/KR/KO/contents/user-guide
,대한항공 (KAL),https://www.koreanair.com/contents/plan-your-travel/baggage
,티웨이,https://www.twayair.com/app/serviceInfo/contents/1148
,Aero K Airlines,https://www.aerok.com/service/free
